NAME,data_type,type,year,percent,Vot
Minnesota,Exemption,Non-Medical Exemption,2011,NA,NA
Minnesota,Exemption,Non-Medical Exemption,2010,NA,NA
Minnesota,Exemption,Non-Medical Exemption,2015,2.8,NA
Minnesota,Exemption,Non-Medical Exemption,2014,1.7,NA
Minnesota,Exemption,Non-Medical Exemption,2016,3.1,NA
Minnesota,Exemption,Any Exemption,2019,3.7,NA
Minnesota,Exemption,Medical Exemption,2010,NA,NA
Minnesota,Exemption,Medical Exemption,2014,0.1,NA
Minnesota,Exemption,Medical Exemption,2013,0,NA
Minnesota,Exemption,Medical Exemption,2012,0.1,NA
Minnesota,Exemption,Medical Exemption,2011,NA,NA
Minnesota,Exemption,Medical Exemption,2019,0.2,NA
Minnesota,Exemption,Medical Exemption,2020,0.2,NA
Minnesota,Exemption,Medical Exemption,2018,0.2,NA
Minnesota,Exemption,Medical Exemption,2017,0.2,NA
Minnesota,Exemption,Medical Exemption,2016,0.2,NA
Minnesota,Exemption,Medical Exemption,2015,0.2,NA
Minnesota,Exemption,Medical Exemption,2021,0.1,NA
New Mexico,Exemption,Medical Exemption,2023,0.1,NA
New Mexico,Exemption,Non-Medical Exemption,2023,1.4,NA
New Mexico,Exemption,Any Exemption,2023,1.5,NA
West Virginia,Exemption,Non-Medical Exemption,2018,NA,NA
West Virginia,Exemption,Non-Medical Exemption,2019,NA,NA
West Virginia,Exemption,Non-Medical Exemption,2020,NA,NA
West Virginia,Exemption,Medical Exemption,2022,0.1,NA
West Virginia,Exemption,Non-Medical Exemption,2017,NA,NA
West Virginia,Exemption,Any Exemption,2018,0.2,NA
West Virginia,Exemption,Any Exemption,2017,0.3,NA
West Virginia,Exemption,Any Exemption,2016,0.2,NA
West Virginia,Exemption,Any Exemption,2015,0.2,NA
West Virginia,Exemption,Any Exemption,2014,0.2,NA
West Virginia,Exemption,Any Exemption,2013,1.2,NA
West Virginia,Exemption,Any Exemption,2010,1.3,NA
West Virginia,Exemption,Non-Medical Exemption,2016,NA,NA
West Virginia,Exemption,Any Exemption,2011,NA,NA
West Virginia,Exemption,Any Exemption,2012,0.2,NA
West Virginia,Exemption,Any Exemption,2022,0.1,NA
West Virginia,Exemption,Any Exemption,2020,0.1,NA
West Virginia,Exemption,Any Exemption,2021,NR,NA
West Virginia,Exemption,Any Exemption,2019,0.8,NA
West Virginia,Exemption,Medical Exemption,2014,0.2,NA
West Virginia,Exemption,Medical Exemption,2013,1.2,NA
West Virginia,Exemption,Medical Exemption,2011,NA,NA
West Virginia,Exemption,Medical Exemption,2012,0.2,NA
West Virginia,Exemption,Medical Exemption,2018,0.2,NA
West Virginia,Exemption,Medical Exemption,2017,0.3,NA
West Virginia,Exemption,Medical Exemption,2016,0.2,NA
